,itr_id,af,cafMin,cafReg,cost_U,cost_A,cost_v,cost_R,cost_N,cost_M,cost_Y,greenFue_U,greenFue_A,greenFue_v,greenFue_R,greenFue_N,greenFue_M,greenFue_Y
0,0,100.5,100.0,0.5,31944784.0943155,31944784.1,31944784.1,57588764.6,57588764.6167203,-1.0,y,2683.0,1341.5,0.0,0.0,0.0,1.0,n
1,1,100.5,100.0,0.5,31944784.0943155,44766774.4,57588764.6,57588764.6,57588764.6167203,-1.0,n,2683.0,2683.0,2683.0,0.0,0.0,1.0,y
2,2,57.0,56.4,0.6,31944784.0943155,31944784.1,43121217.5,57588764.6,57588764.6167203,-1.0,y,2683.0,2683.0,1513.7,0.0,0.0,1.0,y
3,3,50.5,50.0,0.5,31944784.0943155,31944784.1,37531363.3,43121217.5,57588764.6167203,-1.0,y,2683.0,1513.7,757.1,0.0,0.0,1.0,y
4,4,53.6,53.1,0.5,31944784.0943155,43121217.5,49908976.4,57588764.6,57588764.6167203,-1.0,y,2683.0,2683.0,2134.4,1513.7,0.0,1.0,y
5,5,51.0,50.4,0.5,31944784.0943155,49908976.4,53714457.2,57588764.6,57588764.6167203,-1.0,y,2683.0,2683.0,2411.1,2134.4,0.0,1.0,y
6,6,50.5,50.0,0.5,31944784.0943155,31944784.1,34736436.7,37531363.3,57588764.6167203,-1.0,y,2683.0,757.1,378.7,0.0,0.0,1.0,y
7,7,50.5,50.0,0.5,31944784.0943155,37531363.3,40326290.4,43121217.5,57588764.6167203,-1.0,y,2683.0,1513.7,1135.4,757.1,0.0,1.0,y
8,8,56.3,55.7,0.6,31944784.0943155,43121217.5,46128157.5,49908976.4,57588764.6167203,-1.0,y,2683.0,2134.4,1859.4,1513.7,0.0,1.0,y
9,9,51.4,50.9,0.5,31944784.0943155,53714457.2,55616891.9,57588764.6,57588764.6167203,-1.0,y,2683.0,2683.0,2549.5,2411.1,0.0,1.0,y
10,10,50.5,50.0,0.5,31944784.0943155,49908976.4,51811716.8,53714457.2,57588764.6167203,-1.0,y,2683.0,2411.1,2272.8,2134.4,0.0,1.0,y
11,11,50.5,50.0,0.5,31944784.0943155,46128157.5,48018566.9,49908976.4,57588764.6167203,-1.0,y,2683.0,2134.4,1996.9,1859.4,0.0,1.0,y
12,12,50.6,50.1,0.5,31944784.0943155,31944784.1,33338974.3,34736436.7,57588764.6167203,-1.0,y,2683.0,378.7,189.6,0.0,0.0,1.0,y
